timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1787204207081,69,GetStarted,200,OK,ApacheJmeter 3-4,text,true,,101879,142,4,14,https://jmeter.apache.org/usermanual/get-started.html,52,0,42
1787204206953,213,GetStarted,200,OK,ApacheJmeter 3-3,text,true,,101879,142,5,15,https://jmeter.apache.org/usermanual/get-started.html,180,0,142
1787204207154,13,ReleaseNotes,200,OK,ApacheJmeter 3-4,text,true,,32303,127,5,15,https://jmeter.apache.org/changes.html,12,0,0
1787204207167,11,UserManual,200,OK,ApacheJmeter 3-4,text,true,,47114,136,5,15,https://jmeter.apache.org/usermanual/index.html,10,0,0
1787204207166,16,ReleaseNotes,200,OK,ApacheJmeter 3-3,text,true,,32303,127,5,15,https://jmeter.apache.org/changes.html,16,0,0
1787204207179,8,BestPractices,200,OK,ApacheJmeter 3-4,text,true,,42305,145,5,15,https://jmeter.apache.org/usermanual/best-practices.html,7,0,0
1787204207183,10,UserManual,200,OK,ApacheJmeter 3-3,text,true,,47114,136,5,15,https://jmeter.apache.org/usermanual/index.html,7,0,0
1787204206852,349,GetStarted,200,OK,ApacheJmeter 3-2,text,true,,101878,142,5,15,https://jmeter.apache.org/usermanual/get-started.html,291,0,265
1787204207153,48,GetStarted,200,OK,ApacheJmeter 3-5,text,true,,101879,142,5,15,https://jmeter.apache.org/usermanual/get-started.html,40,0,32
1787204207194,8,BestPractices,200,OK,ApacheJmeter 3-3,text,true,,42306,145,5,15,https://jmeter.apache.org/usermanual/best-practices.html,7,0,0
1787204206812,392,GetStarted,200,OK,ApacheJmeter 3-1,text,true,,101879,142,5,15,https://jmeter.apache.org/usermanual/get-started.html,346,0,322
1787204207201,7,ReleaseNotes,200,OK,ApacheJmeter 3-5,text,true,,32302,127,5,15,https://jmeter.apache.org/changes.html,7,0,0
1787204207204,8,ReleaseNotes,200,OK,ApacheJmeter 3-1,text,true,,32302,127,5,15,https://jmeter.apache.org/changes.html,7,0,0
1787204207201,11,ReleaseNotes,200,OK,ApacheJmeter 3-2,text,true,,32302,127,5,15,https://jmeter.apache.org/changes.html,9,0,0
1787204207208,7,UserManual,200,OK,ApacheJmeter 3-5,text,true,,47114,136,5,15,https://jmeter.apache.org/usermanual/index.html,6,0,0
1787204207212,5,UserManual,200,OK,ApacheJmeter 3-1,text,true,,47114,136,5,15,https://jmeter.apache.org/usermanual/index.html,4,0,0
1787204207215,5,BestPractices,200,OK,ApacheJmeter 3-5,text,true,,42305,145,5,15,https://jmeter.apache.org/usermanual/best-practices.html,5,0,0
1787204207212,8,UserManual,200,OK,ApacheJmeter 3-2,text,true,,47114,136,5,15,https://jmeter.apache.org/usermanual/index.html,5,0,0
1787204207217,5,BestPractices,200,OK,ApacheJmeter 3-1,text,true,,42305,145,5,16,https://jmeter.apache.org/usermanual/best-practices.html,5,0,0
1787204207220,7,BestPractices,200,OK,ApacheJmeter 3-2,text,true,,42305,145,5,16,https://jmeter.apache.org/usermanual/best-practices.html,5,0,0
1787204207251,66,GetStarted,200,OK,ApacheJmeter 3-6,text,true,,101879,142,6,18,https://jmeter.apache.org/usermanual/get-started.html,52,0,45
1787204207318,13,ReleaseNotes,200,OK,ApacheJmeter 3-6,text,true,,32303,127,6,19,https://jmeter.apache.org/changes.html,13,0,0
1787204207332,8,UserManual,200,OK,ApacheJmeter 3-6,text,true,,47114,136,6,19,https://jmeter.apache.org/usermanual/index.html,5,0,0
1787204207340,9,BestPractices,200,OK,ApacheJmeter 3-6,text,true,,42305,145,6,20,https://jmeter.apache.org/usermanual/best-practices.html,8,0,0
1787204207353,33,GetStarted,200,OK,ApacheJmeter 3-7,text,true,,101878,142,7,21,https://jmeter.apache.org/usermanual/get-started.html,26,0,21
1787204207187,202,Downloads,200,OK,ApacheJmeter 3-4,text,true,,18881,134,7,21,https://jmeter.apache.org/download_jmeter.cgi,201,0,0
1787204207386,5,ReleaseNotes,200,OK,ApacheJmeter 3-7,text,true,,32302,127,7,21,https://jmeter.apache.org/changes.html,5,0,0
1787204207392,5,UserManual,200,OK,ApacheJmeter 3-7,text,true,,47114,136,7,21,https://jmeter.apache.org/usermanual/index.html,5,0,0
1787204207390,9,GetStarted,200,OK,ApacheJmeter 3-4,text,true,,101879,142,7,21,https://jmeter.apache.org/usermanual/get-started.html,4,0,0
1787204207397,8,BestPractices,200,OK,ApacheJmeter 3-7,text,true,,42305,145,7,21,https://jmeter.apache.org/usermanual/best-practices.html,7,0,0
1787204207400,6,ReleaseNotes,200,OK,ApacheJmeter 3-4,text,true,,32303,127,7,21,https://jmeter.apache.org/changes.html,6,0,0
1787204207406,5,UserManual,200,OK,ApacheJmeter 3-4,text,true,,47114,136,7,21,https://jmeter.apache.org/usermanual/index.html,4,0,0
1787204207412,5,BestPractices,200,OK,ApacheJmeter 3-4,text,true,,42305,145,7,21,https://jmeter.apache.org/usermanual/best-practices.html,5,0,0
1787204207227,205,Downloads,200,OK,ApacheJmeter 3-2,text,true,,18881,134,7,22,https://jmeter.apache.org/download_jmeter.cgi,204,0,0
1787204207203,229,Downloads,200,OK,ApacheJmeter 3-3,text,true,,18888,134,7,22,https://jmeter.apache.org/download_jmeter.cgi,222,0,0
1787204207222,230,Downloads,200,OK,ApacheJmeter 3-1,text,true,,18889,134,7,23,https://jmeter.apache.org/download_jmeter.cgi,230,0,0
1787204207220,232,Downloads,200,OK,ApacheJmeter 3-5,text,true,,18888,134,7,23,https://jmeter.apache.org/download_jmeter.cgi,211,0,0
1787204207432,26,GetStarted,200,OK,ApacheJmeter 3-3,text,true,,101879,142,8,24,https://jmeter.apache.org/usermanual/get-started.html,22,0,0
1787204207432,27,GetStarted,200,OK,ApacheJmeter 3-2,text,true,,101878,142,8,24,https://jmeter.apache.org/usermanual/get-started.html,21,0,0
1787204207455,9,GetStarted,200,OK,ApacheJmeter 3-5,text,true,,101879,142,8,24,https://jmeter.apache.org/usermanual/get-started.html,7,0,0
1787204207453,18,GetStarted,200,OK,ApacheJmeter 3-1,text,true,,101879,142,8,24,https://jmeter.apache.org/usermanual/get-started.html,9,0,0
1787204207459,12,ReleaseNotes,200,OK,ApacheJmeter 3-2,text,true,,32302,127,8,24,https://jmeter.apache.org/changes.html,12,0,0
1787204207458,15,ReleaseNotes,200,OK,ApacheJmeter 3-3,text,true,,32303,127,8,24,https://jmeter.apache.org/changes.html,8,0,0
1787204207465,8,ReleaseNotes,200,OK,ApacheJmeter 3-5,text,true,,32302,127,8,24,https://jmeter.apache.org/changes.html,8,0,0
1787204207471,8,UserManual,200,OK,ApacheJmeter 3-2,text,true,,47114,136,8,24,https://jmeter.apache.org/usermanual/index.html,7,0,0
1787204207472,6,ReleaseNotes,200,OK,ApacheJmeter 3-1,text,true,,32302,127,8,24,https://jmeter.apache.org/changes.html,6,0,0
1787204207473,8,UserManual,200,OK,ApacheJmeter 3-3,text,true,,47114,136,8,24,https://jmeter.apache.org/usermanual/index.html,8,0,0
1787204207474,7,UserManual,200,OK,ApacheJmeter 3-5,text,true,,47114,136,8,24,https://jmeter.apache.org/usermanual/index.html,7,0,0
1787204207479,6,UserManual,200,OK,ApacheJmeter 3-1,text,true,,47114,136,8,24,https://jmeter.apache.org/usermanual/index.html,5,0,0
1787204207481,6,BestPractices,200,OK,ApacheJmeter 3-3,text,true,,42306,145,8,24,https://jmeter.apache.org/usermanual/best-practices.html,5,0,0
1787204207482,5,BestPractices,200,OK,ApacheJmeter 3-5,text,true,,42305,145,8,24,https://jmeter.apache.org/usermanual/best-practices.html,5,0,0
1787204207479,8,BestPractices,200,OK,ApacheJmeter 3-2,text,true,,42305,145,8,24,https://jmeter.apache.org/usermanual/best-practices.html,6,0,0
1787204207485,7,BestPractices,200,OK,ApacheJmeter 3-1,text,true,,42306,145,8,24,https://jmeter.apache.org/usermanual/best-practices.html,7,0,0
1787204207457,42,GetStarted,200,OK,ApacheJmeter 3-8,text,true,,101878,142,8,24,https://jmeter.apache.org/usermanual/get-started.html,36,0,28
1787204207499,5,ReleaseNotes,200,OK,ApacheJmeter 3-8,text,true,,32302,127,8,24,https://jmeter.apache.org/changes.html,4,0,0
